rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId,updated_at
10,170. DMC파크뷰자이아파트 302동 앞,21,210,37.57311249,126.92244720,ST-227,2025-09-04T10:00:00.000+09:00
10,171. 임광빌딩 앞,2,20,37.56472397,126.96727753,ST-228,2025-09-04T10:00:00.000+09:00
8,173. 서대문역 8번출구 앞,5,63,37.56477737,126.96614838,ST-230,2025-09-04T10:00:00.000+09:00
15,175. 홍연2교옆,22,147,37.57806778,126.93088531,ST-231,2025-09-04T10:00:00.000+09:00
10,176. 명지대학교 도서관,19,190,37.58109665,126.92402649,ST-555,2025-09-04T10:00:00.000+09:00
8,177. 북가좌 초등학교,20,250,37.57763672,126.90965271,ST-345,2025-09-04T10:00:00.000+09:00
9,178. 증산3교 앞,38,422,37.57987595,126.90634918,ST-349,2025-09-04T10:00:00.000+09:00
14,179. 가좌역 4번출구 앞,11,79,37.56877518,126.91529846,ST-232,2025-09-04T10:00:00.000+09:00
10,180. 충정로역 7번출구 아래,11,110,37.55996704,126.96246338,ST-233,2025-09-04T10:00:00.000+09:00
15,181. 망원초록길 입구,3,20,37.55134201,126.90267181,ST-339,2025-09-04T10:00:00.000+09:00
9,182. 망원2빗물펌프장 앞,13,144,37.55136490,126.90306091,ST-340,2025-09-04T10:00:00.000+09:00
15,183. 하늘채코오롱아파트 건너편,45,300,37.56538773,126.91932678,ST-341,2025-09-04T10:00:00.000+09:00
8,184. 7번가피자 서교망원점,23,288,37.55894852,126.90775299,ST-342,2025-09-04T10:00:00.000+09:00
15,185. 마포 신수공원 앞,22,147,37.54254532,126.93429565,ST-343,2025-09-04T10:00:00.000+09:00
40,186. 월드컵공원,84,210,37.56396484,126.89820862,ST-344,2025-09-04T10:00:00.000+09:00
9,188. 홍은동 정원여중 입구,16,178,37.58638763,126.93512726,ST-346,2025-09-04T10:00:00.000+09:00
10,191. 서우빌딩,19,190,37.57889175,126.91073608,ST-347,2025-09-04T10:00:00.000+09:00
8,192. 연서어린이공원,16,200,37.57222748,126.92306519,ST-348,2025-09-04T10:00:00.000+09:00
10,194. 증산교 앞,13,130,37.57731628,126.90296936,ST-350,2025-09-04T10:00:00.000+09:00
10,195. 모래내고가차도 ,2,20,37.56765747,126.91780853,ST-351,2025-09-04T10:00:00.000+09:00
10,196. 연희교차로 인근,3,30,37.56612015,126.92589569,ST-352,2025-09-04T10:00:00.000+09:00
10,198. 충정2교,3,30,37.56390762,126.96497345,ST-354,2025-09-04T10:00:00.000+09:00
30,199. 서울 월드컵 경기장,49,163,37.56684494,126.89644623,ST-443,2025-09-04T10:00:00.000+09:00
22,200. 국회의원회관,1,5,37.52841568,126.91391754,ST-45,2025-09-04T10:00:00.000+09:00
15,201. 진미파라곤 앞,1,7,37.53123856,126.92133331,ST-46,2025-09-04T10:00:00.000+09:00
30,202. 국민일보 앞,6,20,37.52881622,126.92453003,ST-47,2025-09-04T10:00:00.000+09:00
15,203. 국회의사당역 3번출구 옆,0,0,37.52805710,126.91870117,ST-51,2025-09-04T10:00:00.000+09:00
13,204. 국회의사당역 5번출구 옆,0,0,37.52816391,126.91702271,ST-50,2025-09-04T10:00:00.000+09:00
20,205. 산업은행 앞,5,25,37.52626419,126.92050934,ST-52,2025-09-04T10:00:00.000+09:00
35,206. KBS 앞,5,14,37.52466583,126.91802216,ST-53,2025-09-04T10:00:00.000+09:00
46,207. 여의나루역 1번출구 앞,0,0,37.52715683,126.93190002,ST-73,2025-09-04T10:00:00.000+09:00
22,209. 유진투자증권빌딩 앞,6,27,37.52461243,126.92783356,ST-55,2025-09-04T10:00:00.000+09:00
19,213. KT앞,0,0,37.52190781,126.91895294,ST-59,2025-09-04T10:00:00.000+09:00
21,214. 금융감독원 앞,6,29,37.52302170,126.92083740,ST-60,2025-09-04T10:00:00.000+09:00
10,215. 여의도고교 앞,0,0,37.52483749,126.93490601,ST-64,2025-09-04T10:00:00.000+09:00
15,217. NH농협은행 앞,5,33,37.52207947,126.93036652,ST-66,2025-09-04T10:00:00.000+09:00
12,219. 롯데캐슬엠파이어 옆,3,25,37.52069473,126.92583466,ST-62,2025-09-04T10:00:00.000+09:00
30,220. 미성아파트 A동 앞,1,3,37.51936340,126.92604828,ST-63,2025-09-04T10:00:00.000+09:00
10,221. 여의도초교 앞,0,0,37.52267456,126.93778992,ST-67,2025-09-04T10:00:00.000+09:00
12,222. 시범아파트버스정류장 옆,6,50,37.51902008,126.93688965,ST-68,2025-09-04T10:00:00.000+09:00
20,223. 진주아파트상가 앞,1,5,37.51913071,126.93337250,ST-69,2025-09-04T10:00:00.000+09:00
20,224. 롯데캐슬 앞,2,10,37.52008820,126.93236542,ST-70,2025-09-04T10:00:00.000+09:00
26,225. 앙카라공원 앞,2,8,37.51758575,126.92961884,ST-71,2025-09-04T10:00:00.000+09:00
19,226. 샛강역 1번출구 앞,0,0,37.51776505,126.92841339,ST-72,2025-09-04T10:00:00.000+09:00
20,227. 양평1나들목 보행통로 입구,19,95,37.54466629,126.88835907,ST-277,2025-09-04T10:00:00.000+09:00
10,228. 선유도역 3번출구 앞,3,30,37.53845978,126.89450836,ST-278,2025-09-04T10:00:00.000+09:00
25,229. 양평1 보행육교 앞,3,12,37.53587341,126.89218140,ST-279,2025-09-04T10:00:00.000+09:00
13,230. 영등포구청역 1번출구,0,0,37.52435684,126.89600372,ST-413,2025-09-04T10:00:00.000+09:00
10,231. 남부고용노동지청 남측,9,90,37.52450562,126.89182281,ST-280,2025-09-04T10:00:00.000+09:00
20,232. 양평우림 이비즈센타 앞,34,170,37.52565002,126.88781738,ST-281,2025-09-04T10:00:00.000+09:00
10,233. 양평1동 YP센터 앞,3,30,37.52848816,126.89164734,ST-282,2025-09-04T10:00:00.000+09:00
10,235. 신길동 우리은행 옆,5,50,37.50456619,126.91023254,ST-284,2025-09-04T10:00:00.000+09:00
10,236. 문래동자이아파트 앞,3,30,37.51615524,126.89461517,ST-285,2025-09-04T10:00:00.000+09:00
20,237. 보라매 두산위브 건너편,62,310,37.49652100,126.91492462,ST-286,2025-09-04T10:00:00.000+09:00
17,238. 제2구민체육센타 앞,0,0,37.52638626,126.90275574,ST-287,2025-09-04T10:00:00.000+09:00
19,239. 유스호스텔 앞,6,32,37.52585220,126.90328217,ST-288,2025-09-04T10:00:00.000+09:00
10,240. 문래역 4번출구 앞,3,30,37.51873779,126.89557648,ST-289,2025-09-04T10:00:00.000+09:00
10,241. 신길우성1차아파트 앞 공원,15,150,37.50501633,126.89853668,ST-290,2025-09-04T10:00:00.000+09:00
15,242. 신길선원가와인아파트 앞,0,0,37.51093292,126.91022491,ST-291,2025-09-04T10:00:00.000+09:00
15,243. 이앤씨드림타워 앞,7,47,37.52708435,126.89138031,ST-292,2025-09-04T10:00:00.000+09:00
20,244. 영등포삼환아파트 앞,18,90,37.53007889,126.90570831,ST-293,2025-09-04T10:00:00.000+09:00
14,245. 삼성생명 당산사옥 앞,3,21,37.52826309,126.89662933,ST-294,2025-09-04T10:00:00.000+09:00
